UKBB data field	ICD10	PheCode	Lookup text	Curated reported trait	main ontology URI(s)	main ontology label(s)	Publication	User submitted trait	qc_status	qc_resolution_modes	qc_label_match_modes	qc_unresolved_ids	final_update_applied	final_update_reason
-	G80.4	-	ICD10 G80.4 ataxic cerebral palsy	ICD10 G80.4: ataxic cerebral palsy	MONDO_0000397	ataxic cerebral palsy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G82.2	-	ICD10 G82.2 paraplegia	ICD10 G82.2: paraplegia	EFO_0009679	paraplegia	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G82.5	-	ICD10 G82.5 quadriplegia	ICD10 G82.5: quadriplegia	EFO_0009684	quadriplegia	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G83.0	-	ICD10 G83.0 diplegia of upper limb	ICD10 G83.0: diplegia of upper limb	MONDO_0004618	diplegia of upper limb	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G83.4	-	ICD10 G83.4 Cauda equina syndrome	ICD10 G83.4: Cauda equina syndrome	EFO_0007196	Cauda equina syndrome	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G83.81	-	ICD10 G83.81 Brown-Sequard Syndrome	ICD10 G83.81: Brown-Sequard Syndrome	EFO_1001279	Brown-Sequard Syndrome	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G89.4	-	ICD10 G89.4 chronic pain syndrome	ICD10 G89.4: chronic pain syndrome	MONDO_0024317	chronic pain syndrome	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G90.1	-	ICD10 G90.1 pseudohypoparathyroidism type 1A	ICD10 G90.1: pseudohypoparathyroidism type 1A	MONDO_0005093	pseudohypoparathyroidism type 1A	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G90.2	-	ICD10 G90.2 Horner syndrome	ICD10 G90.2: Horner syndrome	MONDO_0001294	Horner syndrome	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G90.4	-	ICD10 G90.4 autonomic dysreflexia	ICD10 G90.4: autonomic dysreflexia	EFO_1001762	autonomic dysreflexia	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G90.5	-	ICD10 G90.5 reflex sympathetic dystrophy	ICD10 G90.5: reflex sympathetic dystrophy	EFO_1001147	reflex sympathetic dystrophy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G91.0	-	ICD10 G91.0 communicating hydrocephalus	ICD10 G91.0: communicating hydrocephalus	MONDO_0002045	communicating hydrocephalus	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G91.1	-	ICD10 G91.1 obstructive hydrocephalus	ICD10 G91.1: obstructive hydrocephalus	MONDO_0001896	obstructive hydrocephalus	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G92	-	ICD10 G92 toxic encephalopathy	ICD10 G92: toxic encephalopathy	EFO_0005595	toxic encephalopathy	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G93.2	-	ICD10 G93.2 pseudotumor cerebri	ICD10 G93.2: pseudotumor cerebri	EFO_1001132	pseudotumor cerebri	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G93.5	-	ICD10 G93.5 brain compression	ICD10 G93.5: brain compression	MONDO_0001291	brain compression	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G93.7	-	ICD10 G93.7 Reye syndrome	ICD10 G93.7: Reye syndrome	EFO_0007467	Reye syndrome	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	G96.81	-	ICD10 G96.81 intracranial hypotension	ICD10 G96.81: intracranial hypotension	EFO_1000993	intracranial hypotension	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
-	H00.1	-	ICD10 H00.1 meibomian cyst	ICD10 H00.1: meibomian cyst	EFO_0007363	meibomian cyst	ICD10Supplement_v1	-	review_required	icd10_supplement_efo_obo_xref	icd10_supplement_efo_obo_xref		yes	icd10_supplement_cache_generated
