trait	uri
"hepatic lipid content measurement"	"http://www.ebi.ac.uk/efo/EFO_0006506"
"angiographic measurement"	"http://www.ebi.ac.uk/efo/EFO_0006512"
"Kashin-Beck disease"	"http://purl.obolibrary.org/obo/MONDO_0005610"
"herpes zoster"	"http://purl.obolibrary.org/obo/MONDO_0005609"
"cotinine glucuronidation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006508"
"nicotine glucuronidation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006507"
"hemochromatosis type 1"	"http://purl.obolibrary.org/obo/MONDO_0021001"
"Alzheimer's disease biomarker measurement"	"http://www.ebi.ac.uk/efo/EFO_0006514"
"angiotensin-converting enzyme measurement"	"http://www.ebi.ac.uk/efo/EFO_0006515"
"superior frontal gyrus grey matter volume measurement"	"http://www.ebi.ac.uk/efo/EFO_0006516"
"interferon alpha measurement"	"http://www.ebi.ac.uk/efo/EFO_0006517"
"trait in response to losartan"	"http://purl.obolibrary.org/obo/OBA_2040108"
"MMR-related febrile seizures"	"http://www.ebi.ac.uk/efo/EFO_0006519"
"Febrile seizure (within the age range of 3 months to 6 years)"	"http://purl.obolibrary.org/obo/HP_0002373"
Hypokalemia	"http://purl.obolibrary.org/obo/HP_0002900"
"carbon monoxide exhalation measurement"	"http://www.ebi.ac.uk/efo/EFO_0006520"
"calcium intake measurement"	"http://www.ebi.ac.uk/efo/EFO_0006521"
"L-arginine measurement"	"http://www.ebi.ac.uk/efo/EFO_0006524"
"asymmetrical dimethylarginine measurement"	"http://www.ebi.ac.uk/efo/EFO_0006522"
"symmetrical dimethylarginine measurement"	"http://www.ebi.ac.uk/efo/EFO_0006523"
"cigarettes per day measurement"	"http://www.ebi.ac.uk/efo/EFO_0006525"
"pack-years measurement"	"http://www.ebi.ac.uk/efo/EFO_0006526"
"smoking status measurement"	"http://www.ebi.ac.uk/efo/EFO_0006527"
"Drug-induced agranulocytosis"	"http://purl.obolibrary.org/obo/HP_0012235"
"coffee consumption measurement"	"http://www.ebi.ac.uk/efo/EFO_0006781"
"cups of coffee per day measurement"	"http://www.ebi.ac.uk/efo/EFO_0006782"
"psychosocial stress measurement"	"http://www.ebi.ac.uk/efo/EFO_0006783"
"body height at birth"	"http://www.ebi.ac.uk/efo/EFO_0006784"
"infant body height"	"http://www.ebi.ac.uk/efo/EFO_0006785"
"anxiety disorder"	"http://purl.obolibrary.org/obo/MONDO_0005618"
"typhoid fever"	"http://purl.obolibrary.org/obo/MONDO_0005619"
"vascular brain injury"	"http://purl.obolibrary.org/obo/MONDO_0005621"
"Lewy body dementia"	"http://purl.obolibrary.org/obo/MONDO_0007488"
"cerebrospinal fluid composition attribute"	"http://purl.obolibrary.org/obo/OBA_2045291"
"left inferior lateral ventricle volume measurement"	"http://www.ebi.ac.uk/efo/EFO_0006793"
"serum VEFGR2 concentration amount"	"http://purl.obolibrary.org/obo/OBA_2050080"
"neurofibrillary tangles measurement"	"http://www.ebi.ac.uk/efo/EFO_0006797"
"neuritic plaque measurement"	"http://www.ebi.ac.uk/efo/EFO_0006798"
"vascular brain injury measurement"	"http://www.ebi.ac.uk/efo/EFO_0006800"
"Alzheimer's disease neuropathologic change"	"http://www.ebi.ac.uk/efo/EFO_0006801"
"Senile plaques"	"http://purl.obolibrary.org/obo/HP_0100256"
"response to red blood cell transfusion"	"http://www.ebi.ac.uk/efo/EFO_0006802"
alloimmunization	"http://www.ebi.ac.uk/efo/EFO_0006804"
"word list delayed recall measurement"	"http://www.ebi.ac.uk/efo/EFO_0006805"
"paragraph delayed recall measurement"	"http://www.ebi.ac.uk/efo/EFO_0006806"
"docosapentaenoic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006809"
"oleic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006810"
"arachidonic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006808"
"linoleic acid measurement"	"http://www.ebi.ac.uk/efo/EFO_0006807"
"glucose tolerance test"	"http://www.ebi.ac.uk/efo/EFO_0004307"
"leukocyte quantity"	"http://purl.obolibrary.org/obo/OBA_VT0000217"
"platelet count"	"http://www.ebi.ac.uk/efo/EFO_0004309"
"blood coagulation trait"	"http://purl.obolibrary.org/obo/OBA_VT0002551"
"heart function attribute"	"http://purl.obolibrary.org/obo/OBA_2045275"
"vital capacity"	"http://www.ebi.ac.uk/efo/EFO_0004312"
"forced expiratory volume"	"http://www.ebi.ac.uk/efo/EFO_0004314"
"drinking behavior"	"http://www.ebi.ac.uk/efo/EFO_0004315"
"smoking behavior"	"http://www.ebi.ac.uk/efo/EFO_0004318"
"smoking cessation"	"http://www.ebi.ac.uk/efo/EFO_0004319"
"lentiform nucleus volume"	"http://purl.obolibrary.org/obo/OBA_2050053"
"attempted suicide"	"http://www.ebi.ac.uk/efo/EFO_0004321"
"mental process"	"http://www.ebi.ac.uk/efo/EFO_0004323"
"blood pressure trait"	"http://purl.obolibrary.org/obo/OBA_VT0000183"
electrocardiography	"http://www.ebi.ac.uk/efo/EFO_0004327"
"exercise test"	"http://www.ebi.ac.uk/efo/EFO_0004328"
"alcohol drinking"	"http://www.ebi.ac.uk/efo/EFO_0004329"
"coffee consumption"	"http://www.ebi.ac.uk/efo/EFO_0004330"
"tooth eruption"	"http://purl.obolibrary.org/obo/GO_0044691"
"episodic memory"	"http://www.ebi.ac.uk/efo/EFO_0004333"
"short-term memory"	"http://www.ebi.ac.uk/efo/EFO_0004335"
"speech perception"	"http://www.ebi.ac.uk/efo/EFO_0004336"
intelligence	"http://www.ebi.ac.uk/efo/EFO_0004337"
"body weight"	"http://www.ebi.ac.uk/efo/EFO_0004338"
"bulimia nervosa"	"http://purl.obolibrary.org/obo/MONDO_0005452"
"cervical carcinoma"	"http://purl.obolibrary.org/obo/MONDO_0005131"
"trait in response to dabigatran etexilate"	"http://purl.obolibrary.org/obo/OBA_2040114"
