trait	uri
"level of mismatch repair endonuclease PMS2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042945"
"level of pterin-4-alpha-carbinolamine dehydratase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042777"
"level of protein phosphatase 1D in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042993"
"level of apolipoprotein A-V in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040623"
"level of double-strand break repair protein MRE11 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042415"
"level of E3 ubiquitin-protein ligase CHFR in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041003"
"level of probable oxidoreductase PXDNL in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043121"
"level of protein BTG2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040833"
"level of dual specificity protein kinase CLK2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041053"
"level of U6 snRNA phosphodiesterase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044862"
"level of casein kinase II subunit beta in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041173"
"level of Rho GTPase-activating protein 25 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040651"
"level of leukocyte immunoglobulin-like receptor subfamily B member 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042199"
"level of Fanconi anemia group F protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041547"
"level of tyrosine-protein kinase BLK in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040802"
"level of transaldolase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043774"
"level of prolyl 4-hydroxylase subunit alpha-2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042732"
"level of non-homologous end-joining factor 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042578"
"level of titin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043958"
"level of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042918"
"level of eukaryotic translation initiation factor 5A-2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041458"
"level of splicing factor ESS-2 homolog in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041290"
"level of growth factor receptor-bound protein 10 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041783"
"level of ribonucleoside-diphosphate reductase large subunit in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043346"
"level of aquaporin-4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040635"
"level of mitofusin-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042353"
"level of teneurin-4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042694"
"level of alcohol dehydrogenase class-3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040517"
"level of probable G-protein coupled receptor 101 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040306"
"level of zinc finger protein 18 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044192"
"level of forkhead box protein L2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041608"
"level of all-trans-retinol dehydrogenase [NAD(+)] ADH7 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040519"
"level of RNA-binding protein 24 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043206"
"level of ribose-phosphate pyrophosphokinase 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043039"
"level of biliverdin reductase A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040808"
"level of keratin, type II cytoskeletal 7 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042146"
"level of cyclic AMP-dependent transcription factor ATF-6 beta in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040716"
"level of WAP four-disulfide core domain protein 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044636"
"level of carbonic anhydrase-related protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040861"
"level of dynein axonemal intermediate chain 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041325"
"level of E3 ubiquitin-protein ligase RNF146 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043292"
"level of histone-lysine N-methyltransferase 2C in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042379"
"level of caspase recruitment domain-containing protein 9 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040899"
"level of isobutyryl-CoA dehydrogenase, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040467"
"level of phospholipid scramblase 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042933"
"level of EH domain-containing protein 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041435"
"level of homeobox protein DLX-3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041318"
"level of fumarylacetoacetase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041542"
"level of PDZ and LIM domain protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042833"
"level of heterogeneous nuclear ribonucleoproteins C1/C2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041904"
"level of E3 ubiquitin-protein ligase DTX1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041375"
"level of ATP-dependent DNA helicase Q1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043228"
"level of polyglutamine-binding protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043015"
"level of tectonic-2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043819"
"level of alpha-internexin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042025"
"level of DnaJ homolog subfamily B member 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044285"
"level of rhophilin-2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043270"
"level of suppressor of cytokine signaling 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043592"
"level of glycogen phosphorylase, liver form in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043126"
"level of DNA-directed RNA polymerase III subunit RPC6 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042972"
"level of galactokinase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041656"
"level of eukaryotic translation initiation factor 3 subunit G in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041447"
"level of melanoma-associated antigen B10 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042270"
"level of poly(rC)-binding protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042779"
"level of RNA polymerase II elongation factor ELL in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041469"
"level of RNA binding protein fox-1 homolog 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043209"
"level of transcription factor RelB in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043234"
"level of G-protein coupled receptor 135 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040307"
"level of probable RNA-binding protein 19 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044624"
"level of vacuolar protein sorting-associated protein 4A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044111"
"level of aldehyde dehydrogenase, dimeric NADP-preferring in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040563"
"level of zinc finger protein 174 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044190"
"level of ubiquitin-like protein 4A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044009"
"level of RNA polymerase II elongation factor ELL2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041470"
"level of porphobilinogen deaminase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041884"
"level of leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044515"
"level of deubiquitinase MYSM1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042491"
"level of transferrin receptor protein 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043834"
"level of malonyl-CoA decarboxylase, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042382"
"level of ATP synthase subunit f, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040731"
"level of forkhead box protein O3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041611"
"level of transmembrane protein 230 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044422"
"level of LIM domain and actin-binding protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042202"
"level of PHD finger protein 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042873"
"level of cytoglobin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041214"
"level of muscle, skeletal receptor tyrosine-protein kinase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042463"
"level of M-phase inducer phosphatase 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040950"
"level of insulin gene enhancer protein ISL-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042043"
"level of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041886"
"level of ADP-ribosylation factor GTPase-activating protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040644"
"level of E3 ubiquitin-protein ligase SMURF1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040214"
"level of nuclear factor of activated T-cells, cytoplasmic 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042569"
"level of DNA polymerase epsilon subunit 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042961"
"level of zinc finger protein 23 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044194"
"level of keratin, type II cytoskeletal 72 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042148"
"level of zinc finger protein 10 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044187"
"level of peptidyl-prolyl cis-trans isomerase FKBP1B in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041588"
"level of B-cell receptor-associated protein 29 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040783"
"level of dynamin-2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041336"
"level of serine/arginine-rich splicing factor 6 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043479"
"level of DnaJ homolog subfamily A member 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041326"
"level of MAX gene-associated protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042355"
"level of probable RNA-binding protein 23 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044351"
"level of protein regulator of cytokinesis 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043017"
"level of ELAV-like protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041463"
"level of zinc finger protein 75D in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044214"
"level of ATP-dependent RNA helicase DHX8 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041299"
"level of DnaJ homolog subfamily B member 6 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041328"
"level of bromodomain-containing protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044256"
"level of microtubule-associated proteins 1A/1B light chain 3B in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042283"
"level of integrin alpha-L in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040227"
"level of myb proto-oncogene protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042472"
"level of ubiquitin-conjugating enzyme E2 variant 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040431"
"level of TNF receptor-associated factor 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040406"
"level of activator of 90 kDa heat shock protein ATPase homolog 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040539"
"level of regulator of G-protein signaling 10 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043253"
"level of beta-1,3-galactosyltransferase 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040746"
"level of E3 ubiquitin-protein ligase DTX3L in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041376"
"level of prolyl 4-hydroxylase subunit alpha-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042731"
"level of carbohydrate sulfotransferase 9 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041027"
"level of stromal membrane-associated protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043552"
"level of protein argonaute-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041441"
"level of sodium- and chloride-dependent glycine transporter 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043542"
"level of neurensin-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042643"
"level of ena/VASP-like protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041521"
"level of suppressor of cytokine signaling 7 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043593"
"level of clathrin interactor 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041052"
"level of NACHT, LRR and PYD domains-containing protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042591"
"level of ADP-ribosylation factor GTPase-activating protein 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040645"
"level of regulator of G-protein signaling 8 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043263"
"level of tensin-2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043826"
"level of solute carrier organic anion transporter family member 5A1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044227"
"level of peregrin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040829"
"level of kinesin-like protein KIF16B in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042096"
"level of palmitoyltransferase ZDHHC14 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044382"
"level of gap junction delta-2 protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041723"
"level of Arf-GAP domain and FG repeat-containing protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040535"
"level of thioredoxin-interacting protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043970"
"level of ADP-ribosylation factor-binding protein GGA3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041708"
"level of anaphase-promoting complex subunit 7 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040588"
"level of SHC-transforming protein 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040422"
"level of protein tyrosine phosphatase type IVA 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043098"
"level of lipocalin-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042172"
"level of carnitine O-palmitoyltransferase 1, muscle isoform in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041126"
"level of protein unc-45 homolog A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044036"
"level of POU domain, class 2, transcription factor 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042976"
"level of leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044786"
"level of ribosomal protein S6 kinase beta-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040200"
"level of peroxisome proliferator-activated receptor gamma coactivator 1-alpha in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042980"
"level of nuclear receptor ROR-gamma in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040352"
"level of frataxin, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041637"
"level of piezo-type mechanosensitive ion channel component 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044446"
"level of triggering receptor expressed on myeloid cells 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043927"
"level of protocadherin gamma-B1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042796"
"level of homeobox protein DLX-4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041319"
"level of integrator complex subunit 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042039"
"level of protein S100-A2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043367"
"level of receptor-type tyrosine-protein phosphatase H in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043106"
"level of ER membrane protein complex subunit 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044427"
"level of tight junction protein ZO-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043861"
"level of CD7 molecule in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040334"
"level of 6-pyruvoyl tetrahydrobiopterin synthase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043113"
"level of E3 ubiquitin-protein ligase CBL in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040911"
"level of thiamin pyrophosphokinase 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043910"
"level of bisphosphoglycerate mutase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040819"
"level of smad4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040202"
"level of desmin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041289"
"level of mitotic checkpoint serine/threonine-protein kinase BUB1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040839"
"level of TAR DNA-binding protein 43 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043778"
"level of ribosomal protein S6 kinase alpha-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043338"
"level of ribose-5-phosphate isomerase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043317"
"level of serine hydroxymethyltransferase, cytosolic in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043503"
"level of pikachurin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041426"
"level of alanine--tRNA ligase, cytoplasmic in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040455"
"level of dual specificity protein phosphatase 6 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041389"
"level of Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040473"
"level of anaphase-promoting complex subunit 10 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040587"
"level of cerebral cavernous malformations 2 protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040930"
"level of serine--tRNA ligase, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043384"
"level of protein C-ets-2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041517"
"level of arrestin domain-containing protein 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044768"
"level of ribosome-recycling factor, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042435"
"level of sorcin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043654"
"level of synaptosomal-associated protein 29 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043564"
"level of immunoglobulin-binding protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041988"
"level of Ras-related protein R-Ras2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043344"
"level of tribbles homolog 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043932"
"level of RuvB-like 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043357"
"level of gamma-crystallin D in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041160"
"level of macoilin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043874"
"level of histone acetyltransferase KAT2B in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042776"
"level of apolipoprotein F in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040628"
"level of tropomyosin alpha-3 chain in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043911"
"level of transformer-2 protein homolog beta in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043478"
"level of platelet-activating factor acetylhydrolase IB subunit alpha1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042745"
"level of cyclin-dependent kinase 4 inhibitor D in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040972"
"level of tapasin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043775"
"level of carbonyl reductase [NADPH] 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040916"
"level of antiviral innate immune response receptor RIG-I in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044278"
"level of COP9 signalosome complex subunit 7b in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041098"
"level of calpain-3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040890"
"level of aminopeptidase B in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043303"
"level of PDZ and LIM domain protein 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044339"
"level of origin recognition complex subunit 6 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042710"
"level of PDZ domain-containing protein 7 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044638"
"level of ADP-ribosylation factor-like protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040663"
"level of transmembrane protein C16orf54 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044883"
"level of aspartate--tRNA ligase, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041232"
"level of 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041874"
"level of paired box protein Pax-4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042770"
"level of ubiquitin-conjugating enzyme E2 T in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044004"
"level of AMSH-like protease in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043689"
"level of Ras-related protein Rab-39B in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043157"
"level of GTP-binding protein Di-Ras3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041304"
"level of Ras-related protein Rab-22A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043145"
"level of Ras-related protein Rab-7b in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043172"
"level of protein max in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042307"
"level of endothelial differentiation-related factor 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041411"
"level of EKC/KEOPS complex subunit TPRKB in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043916"
"level of polyunsaturated fatty acid lipoxygenase ALOX15B in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040572"
"level of APOBEC1 complementation factor in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040449"
"level of thymocyte nuclear protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043846"
"level of ADP-ribosylation factor 6 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040643"
"level of MOB kinase activator 1A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042395"
"level of M-phase inducer phosphatase 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040951"
"level of lysophospholipase-like protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042251"
"level of polyadenylate-binding protein-interacting protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042749"
"level of protein pelota in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042845"
"level of calcyclin-binding protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040871"
"level of ADP-ribosylation factor-like protein 11 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040664"
"level of IST1 homolog in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044632"
"level of glutathione S-transferase omega-1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041808"
"level of serine/threonine-protein kinase ULK3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044031"
"level of DNA-3-methyladenine glycosylase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042404"
"level of interferon regulatory factor 9 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040380"
"level of Rho-related GTP-binding protein RhoD in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043266"
"level of nuclear receptor subfamily 5 group A member 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042633"
"level of ankyrin repeat domain-containing protein 27 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040593"
"level of glutathione S-transferase A1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041802"
"level of peptidyl-prolyl cis-trans isomerase H in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042987"
"level of phosphomevalonate kinase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042946"
"level of transcription regulator protein BACH1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040763"
"level of histone-lysine N-methyltransferase KMT5C in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043738"
"level of nuclear RNA export factor 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042681"
"level of methyltransferase-like protein 11A in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042345"
"level of myoneurin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042486"
"level of 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042852"
"level of acireductone dioxygenase in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040520"
"level of calcineurin B homologous protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041015"
"level of pleckstrin homology domain-containing family A member 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042926"
"level of proteasome subunit alpha type-7 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043066"
"level of NAD-dependent deacetylase sirtuin-5 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043514"
"level of histone-lysine N-methyltransferase SETMAR in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043470"
"level of kelch-like protein 13 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042121"
"level of heterogeneous nuclear ribonucleoprotein A1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041903"
"level of microtubule-associated protein RP/EB family member 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042296"
"level of double-stranded RNA-binding protein Staufen homolog 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043696"
"level of BTB/POZ domain-containing protein KCTD5 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044319"
"level of chloride intracellular channel protein 5 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041051"
"level of fructose-2,6-bisphosphatase TIGAR in blood serum"	"http://purl.obolibrary.org/obo/OBA_2044805"
"level of translin in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043949"
"level of 60S ribosomal protein L30 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043321"
"level of cAMP-dependent protein kinase type I-beta regulatory subunit in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043027"
"level of nucleosome-remodeling factor subunit BPTF in blood serum"	"http://purl.obolibrary.org/obo/OBA_2040822"
"level of nuclear receptor ROR-beta in blood serum"	"http://purl.obolibrary.org/obo/OBA_2043311"
"level of phosphatidylinositol transfer protein beta isoform in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042902"
"level of glutaredoxin-2, mitochondrial in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041733"
"level of malignant T cell-amplified sequence 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042316"
"level of mitogen-activated protein kinase scaffold protein 1 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042295"
"level of chloride intracellular channel protein 4 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041050"
"level of ubiquitin thioesterase OTUB2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042721"
"level of gamma-aminobutyric acid receptor-associated protein-like 2 in blood serum"	"http://purl.obolibrary.org/obo/OBA_2041649"
"level of tudor-interacting repair regulator protein in blood serum"	"http://purl.obolibrary.org/obo/OBA_2042668"
