efo_id	label	synonyms	source
OBA:2058586	level of thyrotroph embryonic factor (human) in cerebrospinal fluid	cerebrospinal fluid thyrotroph embryonic factor (human) amount	efo-obo-measurement-branch
OBA:2058587	level of ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (human) in cerebrospinal fluid	cerebrospinal fluid ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (human) amount	efo-obo-measurement-branch
OBA:2058588	level of bone marrow stromal antigen 2 (human) in cerebrospinal fluid	cerebrospinal fluid bone marrow stromal antigen 2 (human) amount	efo-obo-measurement-branch
OBA:2058589	level of mitochondrial-processing peptidase subunit alpha (human) in cerebrospinal fluid	cerebrospinal fluid mitochondrial-processing peptidase subunit alpha (human) amount	efo-obo-measurement-branch
OBA:2058590	level of galactoside alpha-(1,2)-fucosyltransferase 2 (human) in cerebrospinal fluid	cerebrospinal fluid galactoside alpha-(1,2)-fucosyltransferase 2 (human) amount	efo-obo-measurement-branch
OBA:2058591	level of 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 (human) in cerebrospinal fluid	cerebrospinal fluid 4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 (human) amount	efo-obo-measurement-branch
OBA:2058592	level of alpha-(1,3)-fucosyltransferase 7 (human) in cerebrospinal fluid	cerebrospinal fluid alpha-(1,3)-fucosyltransferase 7 (human) amount	efo-obo-measurement-branch
OBA:2058593	level of CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (human) in cerebrospinal fluid	cerebrospinal fluid CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1 (human) amount	efo-obo-measurement-branch
OBA:2058594	level of forkhead box protein O1 (human) in cerebrospinal fluid	cerebrospinal fluid forkhead box protein O1 (human) amount	efo-obo-measurement-branch
OBA:2058595	level of twinfilin-1 (human) in cerebrospinal fluid	cerebrospinal fluid twinfilin-1 (human) amount	efo-obo-measurement-branch
OBA:2058596	level of hyaluronidase-1 (human) in cerebrospinal fluid	cerebrospinal fluid hyaluronidase-1 (human) amount	efo-obo-measurement-branch
OBA:2058597	level of aspartyl/asparaginyl beta-hydroxylase (human) in cerebrospinal fluid	cerebrospinal fluid aspartyl/asparaginyl beta-hydroxylase (human) amount	efo-obo-measurement-branch
OBA:2058598	level of centrin-1 (human) in cerebrospinal fluid	cerebrospinal fluid centrin-1 (human) amount	efo-obo-measurement-branch
OBA:2058599	level of obsolete putative T-complex protein 10A homolog (human) in cerebrospinal fluid	cerebrospinal fluid obsolete putative T-complex protein 10A homolog (human) amount	efo-obo-measurement-branch
OBA:2058600	level of EGF-containing fibulin-like extracellular matrix protein 1 (human) in cerebrospinal fluid	cerebrospinal fluid EGF-containing fibulin-like extracellular matrix protein 1 (human) amount	efo-obo-measurement-branch
OBA:2058601	level of nucleosome-remodeling factor subunit BPTF (human) in cerebrospinal fluid	cerebrospinal fluid nucleosome-remodeling factor subunit BPTF (human) amount	efo-obo-measurement-branch
OBA:2058602	level of zona pellucida sperm-binding protein 4 (human) in cerebrospinal fluid	cerebrospinal fluid zona pellucida sperm-binding protein 4 (human) amount	efo-obo-measurement-branch
OBA:2058603	level of follistatin-related protein 1 (human) in cerebrospinal fluid	cerebrospinal fluid follistatin-related protein 1 (human) amount	efo-obo-measurement-branch
OBA:2058604	level of syntaxin-4 (human) in cerebrospinal fluid	cerebrospinal fluid syntaxin-4 (human) amount	efo-obo-measurement-branch
OBA:2058605	level of nuclear factor 1 A-type (human) in cerebrospinal fluid	cerebrospinal fluid nuclear factor 1 A-type (human) amount	efo-obo-measurement-branch
